customerid,invoicedate,invoicenumber,productid,quantity,price,total,orderstatus,sessionduration,deliveryrating,productrating,sales,payment_method,avg_price_per_product,customer_satisfaction_index
3256,1/11/2019,73294466,43,2,30.66,61.32,Completed,8.17,5,3,61.32,Bank Transfer,30.66,245.28
3256,10/3/2023,95105056,65,3,38.95,116.85,Completed,4.57,5,3,116.85,PayPal,38.95,467.4
3256,10/3/2023,95105056,65,3,38.95,116.85,Completed,4.57,5,3,116.85,PayPal,38.95,467.4
7692,1/12/2019,98393960,29,1,1.91,1.91,Completed,2.56,5,4,1.91,Bank Transfer,1.91,8.595
3440,1/13/2019,33590014,15,1,6.32,6.32,Completed,0.6,4,5,6.32,Credit Card,6.32,28.44
5330,1/13/2019,96617596,56,3,87.34,262.02,Completed,3.21,5,4,262.02,Bank Transfer,87.34,1179.09
5663,1/13/2019,64683713,54,1,90.78,90.78,Completed,0.79,5,5,90.78,Credit Card,90.78,453.9
5663,1/13/2019,64683713,54,1,90.78,90.78,Completed,0.79,5,5,90.78,Credit Card,90.78,453.9
5663,3/1/2020,78095068,7,2,59.68,119.36,Completed,4.55,4,5,119.36,Crypto,59.68,537.12
5663,3/1/2020,78095068,7,2,59.68,119.36,Completed,4.55,4,5,119.36,Crypto,59.68,537.12
1385,1/13/2019,46115974,96,3,36.96,110.88,Completed,6.04,3,2,110.88,Credit Card,36.96,277.2
9551,1/14/2019,27274542,61,1,70.34,70.34,Returned,1.88,0,0,0,Credit Card,70.34,0
8724,1/14/2019,23525893,24,2,99.58,199.16,Completed,0.3,5,4,199.16,Bank Transfer,99.58,896.22
8724,1/14/2019,23525893,24,2,99.58,199.16,Completed,0.3,5,4,199.16,Bank Transfer,99.58,896.22
8724,2/20/2020,70274484,91,2,67.48,134.96,Completed,9.59,5,5,134.96,Bank Transfer,67.48,674.8
8724,2/20/2020,70274484,91,2,67.48,134.96,Completed,9.59,5,5,134.96,Bank Transfer,67.48,674.8
5213,1/15/2019,63003930,12,3,86.11,258.33,Completed,8.71,5,4,258.33,Credit Card,86.11,1162.485
3313,1/16/2019,41087733,90,2,21.51,43.02,Completed,3.59,5,4,43.02,Bank Transfer,21.51,193.59
4243,1/17/2019,78577841,84,1,32.88,32.88,In Process,8.09,0,0,0,Bank Transfer,32.88,0
1356,1/17/2019,89821265,40,3,89.85,269.55,Completed,8.73,4,4,269.55,PayPal,89.85,1078.2
1356,1/17/2019,89821265,40,3,89.85,269.55,Completed,8.73,4,4,269.55,PayPal,89.85,1078.2
1356,12/20/2022,78315723,84,3,32.88,98.64,Completed,6.92,5,2,98.64,Bank Transfer,32.88,345.24
1356,12/20/2022,78315723,84,3,32.88,98.64,Completed,6.92,5,2,98.64,Bank Transfer,32.88,345.24
3543,1/18/2019,20166192,24,3,99.58,298.74,In Process,4.21,0,0,0,Crypto,99.58,0
5301,1/18/2019,33956582,60,1,91.28,91.28,Completed,1.71,4,5,91.28,Crypto,91.28,410.76
1847,1/19/2019,85343805,49,3,99.72,299.16,Completed,5.43,5,4,299.16,PayPal,99.72,1346.22
1847,1/19/2019,85343805,49,3,99.72,299.16,Completed,5.43,5,4,299.16,PayPal,99.72,1346.22
1847,4/26/2019,66128332,24,3,99.58,298.74,Completed,0.46,3,4,298.74,Bank Transfer,99.58,1045.59
1847,4/26/2019,66128332,24,3,99.58,298.74,Completed,0.46,3,4,298.74,Bank Transfer,99.58,1045.59
8180,1/19/2019,89023504,19,3,13.2,39.6,Completed,2.69,3,1,39.6,PayPal,13.2,79.2
2050,1/20/2019,31556200,69,2,96.47,192.94,Cancelled,5.42,0,0,0,PayPal,96.47,0
6670,1/20/2019,35445083,9,3,73.83,221.49,Completed,3.22,5,4,221.49,Crypto,73.83,996.705
1919,1/21/2019,50539359,23,3,95.72,287.16,Completed,7.98,5,3,287.16,Bank Transfer,95.72,1148.64
1972,1/21/2019,24547944,17,2,18.86,37.72,In Process,6.54,0,0,0,Bank Transfer,18.86,0
1972,1/21/2019,24547944,17,2,18.86,37.72,In Process,6.54,0,0,0,Bank Transfer,18.86,0
1972,1/21/2019,24547944,17,2,18.86,37.72,In Process,6.54,0,0,0,Bank Transfer,18.86,0
1972,1/21/2019,24547944,17,2,18.86,37.72,In Process,6.54,0,0,0,Bank Transfer,18.86,0
1972,8/5/2019,32243163,38,2,26.03,52.06,Completed,9.9,4,4,52.06,Credit Card,26.03,208.24
1972,8/5/2019,32243163,38,2,26.03,52.06,Completed,9.9,4,4,52.06,Credit Card,26.03,208.24
1972,8/5/2019,32243163,38,2,26.03,52.06,Completed,9.9,4,4,52.06,Credit Card,26.03,208.24
1972,8/5/2019,32243163,38,2,26.03,52.06,Completed,9.9,4,4,52.06,Credit Card,26.03,208.24
1972,2/9/2023,28198247,19,2,13.2,26.4,Completed,2.01,4,5,26.4,Bank Transfer,13.2,118.8
1972,2/9/2023,28198247,19,2,13.2,26.4,Completed,2.01,4,5,26.4,Bank Transfer,13.2,118.8
1972,2/9/2023,28198247,19,2,13.2,26.4,Completed,2.01,4,5,26.4,Bank Transfer,13.2,118.8
1972,2/9/2023,28198247,19,2,13.2,26.4,Completed,2.01,4,5,26.4,Bank Transfer,13.2,118.8
1972,5/26/2023,61705985,59,3,79.57,238.71,Completed,9.11,5,3,238.71,Credit Card,79.57,954.84
1972,5/26/2023,61705985,59,3,79.57,238.71,Completed,9.11,5,3,238.71,Credit Card,79.57,954.84
1972,5/26/2023,61705985,59,3,79.57,238.71,Completed,9.11,5,3,238.71,Credit Card,79.57,954.84
1972,5/26/2023,61705985,59,3,79.57,238.71,Completed,9.11,5,3,238.71,Credit Card,79.57,954.84
2396,1/22/2019,71200221,10,1,19.34,19.34,Completed,4.28,4,5,19.34,Crypto,19.34,87.03
9792,1/23/2019,46052212,60,2,91.28,182.56,Completed,0.74,5,4,182.56,Credit Card,91.28,821.52
7118,1/23/2019,73826943,76,3,76.67,230.01,In Process,0.65,0,0,0,Bank Transfer,76.67,0
1990,1/24/2019,91309063,85,1,68.31,68.31,Completed,8.32,4,5,68.31,Bank Transfer,68.31,307.395
6002,1/24/2019,92733022,97,2,56.74,113.48,In Process,8.46,0,0,0,PayPal,56.74,0
5822,1/25/2019,81706166,24,1,99.58,99.58,Cancelled,3.83,0,0,0,Credit Card,99.58,0
5822,1/25/2019,81706166,24,1,99.58,99.58,Cancelled,3.83,0,0,0,Credit Card,99.58,0
5822,6/9/2021,51525261,9,3,73.83,221.49,Completed,3.99,5,5,221.49,Crypto,73.83,1107.45
5822,6/9/2021,51525261,9,3,73.83,221.49,Completed,3.99,5,5,221.49,Crypto,73.83,1107.45
8837,1/26/2019,79074150,61,2,70.34,140.68,Completed,0.2,5,5,140.68,Bank Transfer,70.34,703.4
8837,1/26/2019,79074150,61,2,70.34,140.68,Completed,0.2,5,5,140.68,Bank Transfer,70.34,703.4
8837,11/5/2023,86435492,10,3,19.34,58.02,Completed,0.09,5,4,58.02,Bank Transfer,19.34,261.09
8837,11/5/2023,86435492,10,3,19.34,58.02,Completed,0.09,5,4,58.02,Bank Transfer,19.34,261.09
2437,1/26/2019,94518091,8,1,67.18,67.18,Cancelled,3.94,0,0,0,Credit Card,67.18,0
2437,1/26/2019,94518091,8,1,67.18,67.18,Cancelled,3.94,0,0,0,Credit Card,67.18,0
2437,11/3/2023,52910351,66,1,56.01,56.01,Completed,2.42,4,3,56.01,Bank Transfer,56.01,196.035
2437,11/3/2023,52910351,66,1,56.01,56.01,Completed,2.42,4,3,56.01,Bank Transfer,56.01,196.035
1457,1/26/2019,11512793,75,2,32.34,64.68,In Process,4.94,0,0,0,Credit Card,32.34,0
3446,1/26/2019,36215549,67,2,17.22,34.44,Completed,3.12,3,3,34.44,Bank Transfer,17.22,103.32
3446,1/26/2019,36215549,67,2,17.22,34.44,Completed,3.12,3,3,34.44,Bank Transfer,17.22,103.32
3446,1/26/2019,36215549,67,2,17.22,34.44,Completed,3.12,3,3,34.44,Bank Transfer,17.22,103.32
3446,2/17/2022,39739409,88,2,40.95,81.9,Returned,2.86,0,0,0,Bank Transfer,40.95,0
3446,2/17/2022,39739409,88,2,40.95,81.9,Returned,2.86,0,0,0,Bank Transfer,40.95,0
3446,2/17/2022,39739409,88,2,40.95,81.9,Returned,2.86,0,0,0,Bank Transfer,40.95,0
3446,9/22/2022,13546756,28,1,5.32,5.32,Completed,6.56,5,5,5.32,Credit Card,5.32,26.6
3446,9/22/2022,13546756,28,1,5.32,5.32,Completed,6.56,5,5,5.32,Credit Card,5.32,26.6
3446,9/22/2022,13546756,28,1,5.32,5.32,Completed,6.56,5,5,5.32,Credit Card,5.32,26.6
1784,1/26/2019,93398915,18,1,1.97,1.97,Completed,,5,3,1.97,Bank Transfer,1.97,7.88
8735,1/27/2019,39689144,11,2,4.31,8.62,In Process,8.61,0,0,0,Credit Card,4.31,0
6952,1/27/2019,49336199,23,1,95.72,95.72,In Process,0.1,0,0,0,PayPal,95.72,0
9816,1/27/2019,83768533,98,1,85.04,85.04,Completed,4.87,5,4,85.04,PayPal,85.04,382.68
4049,1/28/2019,96649574,94,1,17.63,17.63,Cancelled,9.77,0,0,0,Credit Card,17.63,0
1395,1/28/2019,17352662,9,3,73.83,221.49,Completed,2.74,5,3,221.49,Bank Transfer,73.83,885.96
7936,1/29/2019,29489662,25,2,11.29,22.58,Returned,0.09,0,0,0,Bank Transfer,11.29,0
2609,1/29/2019,37211927,19,2,13.2,26.4,In Process,2.19,0,0,0,Crypto,13.2,0
2495,1/30/2019,50599444,21,3,98.91,296.73,Completed,2.21,4,3,296.73,PayPal,98.91,1038.555
4592,1/31/2019,41719113,27,3,72.93,218.79,Completed,8.99,5,5,218.79,Bank Transfer,72.93,1093.95
4592,1/31/2019,41719113,27,3,72.93,218.79,Completed,8.99,5,5,218.79,Bank Transfer,72.93,1093.95
4592,11/27/2022,88204087,41,2,32.33,64.66,Completed,7.04,5,4,64.66,Crypto,32.33,290.97
4592,11/27/2022,88204087,41,2,32.33,64.66,Completed,7.04,5,4,64.66,Crypto,32.33,290.97
6440,1/31/2019,11529780,4,2,32.43,64.86,Completed,6.09,5,3,64.86,Credit Card,32.43,259.44
6440,1/31/2019,11529780,4,2,32.43,64.86,Completed,6.09,5,3,64.86,Credit Card,32.43,259.44
6440,7/24/2019,60009863,60,3,91.28,273.84,Completed,9.84,3,5,273.84,Bank Transfer,91.28,1095.36
6440,7/24/2019,60009863,60,3,91.28,273.84,Completed,9.84,3,5,273.84,Bank Transfer,91.28,1095.36
8919,2/1/2019,54575778,4,3,32.43,97.29,In Process,8.01,0,0,0,Bank Transfer,32.43,0
8919,2/1/2019,54575778,4,3,32.43,97.29,In Process,8.01,0,0,0,Bank Transfer,32.43,0
8919,7/26/2020,27097366,74,3,33.51,100.53,Completed,2.54,3,5,100.53,Crypto,33.51,402.12
8919,7/26/2020,27097366,74,3,33.51,100.53,Completed,2.54,3,5,100.53,Crypto,33.51,402.12
7211,2/1/2019,93139178,47,2,64.64,129.28,In Process,8.31,0,0,0,Credit Card,64.64,0
5189,2/1/2019,18189745,85,1,68.31,68.31,Completed,0.82,4,5,68.31,Bank Transfer,68.31,307.395
3360,2/1/2019,46806659,9,2,73.83,147.66,Cancelled,0.19,0,0,0,Credit Card,73.83,0
9523,2/2/2019,85394637,29,2,1.91,3.82,In Process,7.74,0,0,0,Credit Card,1.91,0
9281,2/2/2019,43930998,79,3,33.28,99.84,Completed,0.71,4,4,99.84,Credit Card,33.28,399.36
9281,2/2/2019,43930998,79,3,33.28,99.84,Completed,0.71,4,4,99.84,Credit Card,33.28,399.36
9281,5/5/2022,91638954,7,1,59.68,59.68,Completed,0.85,4,3,59.68,Bank Transfer,59.68,208.88
9281,5/5/2022,91638954,7,1,59.68,59.68,Completed,0.85,4,3,59.68,Bank Transfer,59.68,208.88
2844,2/3/2019,98343421,62,2,81.46,162.92,Completed,3.32,5,5,162.92,Credit Card,81.46,814.6
3761,2/4/2019,90393819,80,1,77.64,77.64,Completed,0.78,5,5,77.64,PayPal,77.64,388.2
3399,2/5/2019,60520530,41,2,32.33,64.66,Completed,8.08,4,5,64.66,Credit Card,32.33,290.97
2503,2/5/2019,25877286,92,1,58.5,58.5,In Process,2.89,0,0,0,PayPal,58.5,0
1832,2/6/2019,86264346,100,2,98.59,197.18,In Process,8.95,0,0,0,PayPal,98.59,0
1542,2/7/2019,84546978,29,1,1.91,1.91,Completed,0.62,5,5,1.91,Crypto,1.91,9.55
1542,2/7/2019,84546978,29,1,1.91,1.91,Completed,0.62,5,5,1.91,Crypto,1.91,9.55
1542,5/19/2019,19022959,95,1,50.48,50.48,Completed,2.63,5,5,50.48,Crypto,50.48,252.4
1542,5/19/2019,19022959,95,1,50.48,50.48,Completed,2.63,5,5,50.48,Crypto,50.48,252.4
9899,2/7/2019,81805625,38,1,26.03,26.03,Returned,8.57,0,0,0,Credit Card,26.03,0
9899,2/7/2019,81805625,38,1,26.03,26.03,Returned,8.57,0,0,0,Credit Card,26.03,0
9899,2/7/2019,81805625,38,1,26.03,26.03,Returned,8.57,0,0,0,Credit Card,26.03,0
9899,2/7/2019,81805625,38,1,26.03,26.03,Returned,8.57,0,0,0,Credit Card,26.03,0
9899,4/28/2019,63562139,47,2,64.64,129.28,Completed,4.56,5,4,129.28,Credit Card,64.64,581.76
9899,4/28/2019,63562139,47,2,64.64,129.28,Completed,4.56,5,4,129.28,Credit Card,64.64,581.76
9899,4/28/2019,63562139,47,2,64.64,129.28,Completed,4.56,5,4,129.28,Credit Card,64.64,581.76
9899,4/28/2019,63562139,47,2,64.64,129.28,Completed,4.56,5,4,129.28,Credit Card,64.64,581.76
9899,1/29/2020,32172893,46,1,9.88,9.88,In Process,8.34,0,0,0,Credit Card,9.88,0
9899,1/29/2020,32172893,46,1,9.88,9.88,In Process,8.34,0,0,0,Credit Card,9.88,0
9899,1/29/2020,32172893,46,1,9.88,9.88,In Process,8.34,0,0,0,Credit Card,9.88,0
9899,1/29/2020,32172893,46,1,9.88,9.88,In Process,8.34,0,0,0,Credit Card,9.88,0
9899,11/4/2021,44435298,83,2,1.22,2.44,Completed,6.49,3,4,2.44,PayPal,1.22,8.54
9899,11/4/2021,44435298,83,2,1.22,2.44,Completed,6.49,3,4,2.44,PayPal,1.22,8.54
9899,11/4/2021,44435298,83,2,1.22,2.44,Completed,6.49,3,4,2.44,PayPal,1.22,8.54
9899,11/4/2021,44435298,83,2,1.22,2.44,Completed,6.49,3,4,2.44,PayPal,1.22,8.54
6916,2/8/2019,76487166,25,1,11.29,11.29,Completed,5.97,5,4,11.29,Credit Card,11.29,50.805
6916,2/8/2019,76487166,25,1,11.29,11.29,Completed,5.97,5,4,11.29,Credit Card,11.29,50.805
6916,7/8/2022,24023913,3,1,97.19,97.19,Returned,0.09,0,0,0,Crypto,97.19,0
6916,7/8/2022,24023913,3,1,97.19,97.19,Returned,0.09,0,0,0,Crypto,97.19,0
2948,2/9/2019,44777671,52,1,20.15,20.15,Cancelled,1.18,0,0,0,Crypto,20.15,0
2948,2/9/2019,44777671,52,1,20.15,20.15,Cancelled,1.18,0,0,0,Crypto,20.15,0
2948,2/9/2019,44777671,52,1,20.15,20.15,Cancelled,1.18,0,0,0,Crypto,20.15,0
2948,8/16/2019,79190313,18,1,1.97,1.97,Completed,3.66,4,5,1.97,Bank Transfer,1.97,8.865
2948,8/16/2019,79190313,18,1,1.97,1.97,Completed,3.66,4,5,1.97,Bank Transfer,1.97,8.865
2948,8/16/2019,79190313,18,1,1.97,1.97,Completed,3.66,4,5,1.97,Bank Transfer,1.97,8.865
2948,10/5/2023,96599361,47,2,64.64,129.28,Cancelled,6.32,0,0,0,Credit Card,64.64,0
2948,10/5/2023,96599361,47,2,64.64,129.28,Cancelled,6.32,0,0,0,Credit Card,64.64,0
2948,10/5/2023,96599361,47,2,64.64,129.28,Cancelled,6.32,0,0,0,Credit Card,64.64,0
4190,2/9/2019,93538850,89,3,37.61,112.83,Completed,4.47,5,3,112.83,PayPal,37.61,451.32
4190,2/9/2019,93538850,89,3,37.61,112.83,Completed,4.47,5,3,112.83,PayPal,37.61,451.32
4190,8/19/2020,93378680,36,1,48.16,48.16,Cancelled,7.42,0,0,0,PayPal,48.16,0
4190,8/19/2020,93378680,36,1,48.16,48.16,Cancelled,7.42,0,0,0,PayPal,48.16,0
2144,2/10/2019,31528625,46,1,9.88,9.88,Completed,9.3,4,5,9.88,PayPal,9.88,44.46
3521,2/10/2019,13262212,52,2,20.15,40.3,Completed,2.74,4,3,40.3,Crypto,20.15,141.05
9149,2/10/2019,41497662,73,3,30.57,91.71,Cancelled,3.81,0,0,0,Crypto,30.57,0
7281,2/10/2019,52320968,78,1,19.66,19.66,Completed,0.49,4,5,19.66,Bank Transfer,19.66,88.47
7281,2/10/2019,52320968,78,1,19.66,19.66,Completed,0.49,4,5,19.66,Bank Transfer,19.66,88.47
7281,8/22/2022,53654280,83,3,1.22,3.66,Completed,2.3,5,5,3.66,Credit Card,1.22,18.3
7281,8/22/2022,53654280,83,3,1.22,3.66,Completed,2.3,5,5,3.66,Credit Card,1.22,18.3
1529,2/10/2019,45274559,8,1,67.18,67.18,In Process,0.52,0,0,0,Credit Card,67.18,0
8311,2/11/2019,72705429,50,2,50.71,101.42,Completed,8.31,4,4,101.42,Bank Transfer,50.71,405.68
1240,2/11/2019,66883041,46,3,9.88,29.64,Completed,2.83,3,3,29.64,Credit Card,9.88,88.92
1240,2/11/2019,66883041,46,3,9.88,29.64,Completed,2.83,3,3,29.64,Credit Card,9.88,88.92
1240,7/26/2019,44016205,28,1,5.32,5.32,Cancelled,9.04,0,0,0,Credit Card,5.32,0
1240,7/26/2019,44016205,28,1,5.32,5.32,Cancelled,9.04,0,0,0,Credit Card,5.32,0
3613,2/12/2019,41983414,91,2,67.48,134.96,Completed,5.69,5,2,134.96,Bank Transfer,67.48,472.36
8579,2/12/2019,42429169,80,2,77.64,155.28,Cancelled,1.24,0,0,0,Credit Card,77.64,0
8528,2/13/2019,80275930,52,2,20.15,40.3,Completed,9.68,5,4,40.3,Bank Transfer,20.15,181.35
8528,2/13/2019,80275930,52,2,20.15,40.3,Completed,9.68,5,4,40.3,Bank Transfer,20.15,181.35
8528,4/7/2020,40796296,66,2,56.01,112.02,In Process,9.47,0,0,0,Crypto,56.01,0
8528,4/7/2020,40796296,66,2,56.01,112.02,In Process,9.47,0,0,0,Crypto,56.01,0
4499,2/13/2019,25343587,22,3,41.48,124.44,Completed,4.44,5,3,124.44,Bank Transfer,41.48,497.76
3811,2/13/2019,94219421,21,1,98.91,98.91,Completed,4.59,5,4,98.91,Bank Transfer,98.91,445.095
7695,2/14/2019,57499295,66,1,56.01,56.01,Completed,6.68,5,5,56.01,Credit Card,56.01,280.05
2821,2/15/2019,80452262,78,3,19.66,58.98,Completed,5.32,5,4,58.98,PayPal,19.66,265.41
3219,2/15/2019,53369403,89,1,37.61,37.61,Completed,8.77,5,5,37.61,Bank Transfer,37.61,188.05
2314,2/15/2019,87415429,84,3,32.88,98.64,Completed,9.64,5,4,98.64,PayPal,32.88,443.88
6018,2/15/2019,85412978,5,1,11.97,11.97,In Process,5.14,0,0,0,Crypto,11.97,0
9304,2/16/2019,32348718,82,2,5.82,11.64,Completed,9.17,5,5,11.64,Crypto,5.82,58.2
9304,2/16/2019,32348718,82,2,5.82,11.64,Completed,9.17,5,5,11.64,Crypto,5.82,58.2
9304,2/16/2019,32348718,82,2,5.82,11.64,Completed,9.17,5,5,11.64,Crypto,5.82,58.2
9304,10/19/2020,82446993,59,1,79.57,79.57,Completed,4.6,2,5,79.57,Crypto,79.57,278.495
9304,10/19/2020,82446993,59,1,79.57,79.57,Completed,4.6,2,5,79.57,Crypto,79.57,278.495
9304,10/19/2020,82446993,59,1,79.57,79.57,Completed,4.6,2,5,79.57,Crypto,79.57,278.495
9304,1/12/2022,35145335,66,1,56.01,56.01,Completed,3.45,4,4,56.01,Credit Card,56.01,224.04
9304,1/12/2022,35145335,66,1,56.01,56.01,Completed,3.45,4,4,56.01,Credit Card,56.01,224.04
9304,1/12/2022,35145335,66,1,56.01,56.01,Completed,3.45,4,4,56.01,Credit Card,56.01,224.04
9993,2/16/2019,52989754,5,2,11.97,23.94,Cancelled,6.05,0,0,0,Credit Card,11.97,0
9199,2/16/2019,49369386,98,3,85.04,255.12,Cancelled,9.55,0,0,0,Crypto,85.04,0
2289,2/17/2019,13050446,67,3,17.22,51.66,Cancelled,3.99,0,0,0,PayPal,17.22,0
6836,2/17/2019,75641745,1,2,81.91,163.82,Completed,2.23,3,5,163.82,Crypto,81.91,655.28
2783,2/18/2019,86200787,59,3,79.57,238.71,Completed,3.95,1,5,238.71,Credit Card,79.57,716.13
8462,2/19/2019,56715045,25,2,11.29,22.58,Completed,3.8,5,5,22.58,PayPal,11.29,112.9
9293,2/19/2019,39840311,56,1,87.34,87.34,Completed,0.13,5,5,87.34,Crypto,87.34,436.7
5459,2/20/2019,91175672,70,1,63.88,63.88,Completed,4.15,4,5,63.88,Credit Card,63.88,287.46
4692,2/20/2019,92723264,54,1,90.78,90.78,Cancelled,8.65,0,0,0,Crypto,90.78,0
9317,2/21/2019,77430402,32,3,91.37,274.11,In Process,8.47,0,0,0,PayPal,91.37,0
9317,2/21/2019,77430402,32,3,91.37,274.11,In Process,8.47,0,0,0,PayPal,91.37,0
9317,2/21/2019,77430402,32,3,91.37,274.11,In Process,8.47,0,0,0,PayPal,91.37,0
9317,7/26/2019,59124791,79,3,33.28,99.84,Completed,8.56,2,5,99.84,Bank Transfer,33.28,349.44
9317,7/26/2019,59124791,79,3,33.28,99.84,Completed,8.56,2,5,99.84,Bank Transfer,33.28,349.44
9317,7/26/2019,59124791,79,3,33.28,99.84,Completed,8.56,2,5,99.84,Bank Transfer,33.28,349.44
9317,3/17/2020,35729237,27,1,72.93,72.93,Completed,7.18,4,4,72.93,Credit Card,72.93,291.72
9317,3/17/2020,35729237,27,1,72.93,72.93,Completed,7.18,4,4,72.93,Credit Card,72.93,291.72
9317,3/17/2020,35729237,27,1,72.93,72.93,Completed,7.18,4,4,72.93,Credit Card,72.93,291.72
