customerid,gender,country,trafficsource,devicecategory,device,os,age
2821.0,Male,Mexico,Organic Search,Computer,Desktop,Windows,35.0
3219.0,Male,Italy,Social Media,Computer,Laptop,Windows,30.0
2314.0,Male,Mexico,Organic Search,Computer,Laptop,Linux,39.0
6018.0,Male,Taiwan,Organic Search,Mobile,Smart Phone,Android,22.0
9304.0,Male,Russia,Social Media,Computer,Desktop,Mac,26.0
9993.0,Male,Brazil,Paid Advertisment,Computer,Laptop,Windows,26.0
9199.0,Male,Netherlands,Social Media,Computer,Desktop,Windows,18.0
2289.0,Male,Russia,Paid Advertisment,Computer,Desktop,Windows,32.0
6836.0,Male,Mexico,Social Media,Computer,Laptop,,32.0
2783.0,Male,United States,Social Media,Mobile,Tablet,Android,30.0
8462.0,Male,Belgium,Organic Search,Computer,Laptop,Windows,27.0
9293.0,Female,Egypt,,Computer,Laptop,Windows,18.0
5459.0,Male,Canada,Organic Search,,Laptop,Windows,25.0
4692.0,Male,France,Social Media,Mobile,Tablet,Windows,26.0
9317.0,Female,United States,Social Media,Computer,,Windows,21.0
3163.0,Male,China,Social Media,Computer,Laptop,Windows,28.0
8142.0,Female,United States,Organic Search,Computer,Desktop,Mac,34.0
3279.0,Male,Philippines,Organic Search,Computer,Desktop,Windows,48.0
7467.0,Male,China,Organic Search,Computer,Laptop,Linux,31.0
1128.0,Female,Switzerland,Organic Search,Computer,Laptop,Windows,32.0
2470.0,Male,Vietnam,Organic Search,Computer,Desktop,Windows,29.0
6111.0,Male,Indonesia,Social Media,Mobile,Smart Phone,Windows,18.0
7540.0,Male,India,Organic Search,Mobile,Smart Phone,Android,29.0
8024.0,Male,Canada,Paid Advertisment,Mobile,Smart Phone,Android,30.0
7669.0,Female,Italy,Organic Search,Computer,Laptop,,54.0
5055.0,Male,Nigeria,Organic Search,Mobile,Smart Phone,Android,28.0
9919.0,Male,Germany,Social Media,Mobile,Tablet,Android,33.0
1973.0,Male,South Korea,Social Media,Computer,Desktop,Windows,29.0
2922.0,Male,Netherlands,Organic Search,Mobile,Smart Phone,Android,18.0
7006.0,Male,South Korea,Social Media,Computer,Laptop,Windows,41.0
7107.0,Male,South Korea,Organic Search,Computer,Laptop,Windows,37.0
3623.0,Male,Brazil,Social Media,Computer,Desktop,Windows,37.0
3794.0,Male,France,,Computer,Desktop,Windows,20.0
2305.0,Male,,Paid Advertisment,Computer,Desktop,Windows,44.0
4761.0,Female,Argentina,Social Media,Computer,Desktop,,18.0
6874.0,Female,United Kingdom,Organic Search,Computer,Laptop,Windows,35.0
8515.0,Male,Switzerland,Paid Advertisment,Computer,Laptop,Windows,51.0
7873.0,Female,South Korea,Social Media,Computer,Laptop,Windows,20.0
1742.0,Female,South Korea,Organic Search,Mobile,Tablet,Windows,24.0
6691.0,Male,Mexico,Organic Search,Computer,Desktop,Windows,30.0
6960.0,Female,Japan,Social Media,Mobile,Smart Phone,Windows,24.0
6849.0,Male,India,Organic Search,Computer,Laptop,Windows,18.0
6005.0,Male,United States,Organic Search,Mobile,Tablet,Windows,30.0
4507.0,Male,South Korea,Organic Search,Computer,Desktop,Windows,19.0
4282.0,Female,Canada,Social Media,Computer,Laptop,Windows,34.0
4349.0,Male,Spain,Social Media,Computer,Desktop,Windows,20.0
2371.0,Male,Spain,Organic Search,Computer,Desktop,Windows,45.0
6483.0,Male,Mexico,Social Media,Computer,Desktop,Windows,22.0
9244.0,Female,Germany,Social Media,Computer,Desktop,Mac,26.0
7702.0,Male,Canada,Organic Search,Mobile,Tablet,iOS,38.0
8750.0,Male,France,Social Media,Computer,Desktop,Windows,18.0
8113.0,Female,Russia,Organic Search,Computer,Laptop,Windows,32.0
,Male,Vietnam,Paid Advertisment,Computer,Laptop,Windows,43.0
1215.0,Female,Japan,Social Media,Computer,Laptop,Linux,18.0
2248.0,Male,United States,Organic Search,Mobile,Smart Phone,Windows,31.0
6258.0,Male,Spain,Social Media,Computer,Laptop,Linux,32.0
3562.0,Male,Germany,Social Media,Computer,Laptop,Windows,37.0
9208.0,Male,South Korea,Paid Advertisment,Computer,Desktop,Mac,18.0
9495.0,Female,Taiwan,Organic Search,Mobile,Smart Phone,Android,18.0
1495.0,Male,Turkey,Social Media,Computer,Desktop,Windows,35.0
9998.0,Male,United Kingdom,Social Media,Computer,Laptop,Windows,32.0
9395.0,,China,Organic Search,Computer,Desktop,Windows,32.0
6333.0,Female,India,Paid Advertisment,Mobile,Tablet,Windows,
6634.0,Female,Netherlands,Organic Search,Mobile,Tablet,Android,23.0
9944.0,Female,Italy,Paid Advertisment,Computer,Desktop,Windows,32.0
9951.0,Male,Vietnam,Social Media,Computer,Desktop,Windows,32.0
2789.0,Male,Spain,Social Media,Computer,Desktop,Windows,22.0
3385.0,Male,United Kingdom,Organic Search,Computer,Desktop,Windows,48.0
1166.0,Male,United States,Social Media,Computer,Desktop,Windows,34.0
2035.0,Male,United States,Organic Search,Mobile,Tablet,Windows,18.0
7387.0,Male,China,Organic Search,Computer,Laptop,Linux,36.0
4289.0,Male,Egypt,Organic Search,Computer,Laptop,Windows,20.0
4156.0,Male,Japan,Paid Advertisment,Computer,Desktop,Windows,37.0
8856.0,Male,Canada,Paid Advertisment,Computer,Laptop,Windows,41.0
1358.0,Male,Australia,Social Media,Computer,Desktop,Windows,21.0
7674.0,Male,Mexico,Social Media,Computer,Laptop,Linux,39.0
4725.0,Male,Indonesia,Organic Search,Computer,Laptop,Linux,34.0
2960.0,Male,Japan,Social Media,Mobile,Smart Phone,Android,38.0
4352.0,Male,Canada,Paid Advertisment,Computer,Desktop,Windows,48.0
1941.0,Male,Australia,Social Media,Mobile,Smart Phone,iOS,27.0
2279.0,Male,Russia,,Computer,Laptop,Linux,22.0
4551.0,Male,United States,Paid Advertisment,Computer,Desktop,Windows,21.0
9101.0,Female,Germany,Organic Search,Computer,Laptop,Windows,21.0
4995.0,Male,Saudi Arabia,Social Media,Computer,Desktop,Windows,29.0
8425.0,Male,Indonesia,Organic Search,,Laptop,Windows,33.0
9177.0,Male,Canada,Social Media,Mobile,Tablet,Windows,32.0
6102.0,,United Kingdom,Paid Advertisment,Mobile,Smart Phone,Android,38.0
5336.0,Male,Australia,Social Media,Computer,Desktop,Windows,30.0
2918.0,Male,South Korea,Organic Search,Computer,Desktop,Windows,44.0
2395.0,Female,Netherlands,Organic Search,,Smart Phone,Android,27.0
5327.0,Male,United States,Organic Search,Computer,Laptop,Windows,
6547.0,Female,Mexico,Social Media,Mobile,Tablet,Windows,36.0
6254.0,Male,Germany,Organic Search,Computer,Laptop,Windows,21.0
2131.0,Male,Spain,Social Media,Computer,Desktop,Mac,19.0
3406.0,Female,Switzerland,Paid Advertisment,Mobile,Smart Phone,Windows,34.0
8333.0,Male,Japan,Social Media,Mobile,Smart Phone,Windows,27.0
2954.0,Male,France,Organic Search,Computer,Desktop,Windows,37.0
2629.0,Male,Taiwan,Organic Search,Computer,Desktop,Mac,34.0
2965.0,Female,Russia,Social Media,Computer,Desktop,Windows,29.0
5999.0,Male,Mexico,Organic Search,Computer,Desktop,Windows,21.0
5435.0,Male,Indonesia,Organic Search,Computer,Desktop,Windows,18.0
8469.0,Male,Mexico,Social Media,Computer,Desktop,Windows,25.0
9732.0,Male,United States,Organic Search,Computer,Desktop,Windows,38.0
6460.0,Male,United States,Social Media,Computer,Desktop,Windows,32.0
4313.0,Female,Vietnam,Organic Search,Computer,Laptop,Windows,18.0
6498.0,Male,Netherlands,Social Media,Computer,Laptop,Linux,31.0
2364.0,Female,Indonesia,Social Media,Mobile,Smart Phone,Android,33.0
5272.0,Male,Taiwan,Paid Advertisment,Computer,Laptop,Windows,21.0
6540.0,Male,Brazil,Paid Advertisment,Mobile,Tablet,Windows,31.0
4169.0,Male,India,Social Media,Computer,Desktop,Windows,30.0
8419.0,Male,Vietnam,Organic Search,Computer,Laptop,Linux,18.0
2652.0,Male,Saudi Arabia,Social Media,Mobile,Tablet,,33.0
5044.0,Male,United Kingdom,Social Media,Mobile,Tablet,Windows,35.0
3740.0,Male,Japan,Social Media,Computer,Desktop,Windows,40.0
6505.0,Male,Spain,Organic Search,Mobile,Tablet,Android,40.0
6149.0,Male,Canada,Paid Advertisment,Computer,Desktop,Mac,18.0
5857.0,Female,United States,Social Media,Computer,Desktop,Windows,20.0
7294.0,Male,Japan,Organic Search,Mobile,Smart Phone,Windows,35.0
9783.0,Female,India,Organic Search,Mobile,Tablet,Windows,35.0
6941.0,Female,China,Organic Search,Computer,Laptop,Windows,35.0
3239.0,Male,Poland,Social Media,Computer,Desktop,Windows,65.0
8026.0,Female,Nigeria,Organic Search,Computer,Desktop,Windows,35.0
3214.0,Male,Switzerland,Paid Advertisment,Mobile,Tablet,Windows,41.0
4722.0,Male,Canada,Organic Search,Computer,Laptop,Windows,39.0
9256.0,Female,Egypt,Organic Search,Computer,Laptop,Windows,36.0
9665.0,Male,Canada,Organic Search,Computer,Laptop,Windows,26.0
3336.0,Male,United States,Social Media,Computer,Desktop,Windows,37.0
4964.0,Male,Indonesia,Organic Search,Computer,Desktop,Windows,22.0
3690.0,Male,India,Organic Search,Computer,Laptop,Windows,27.0
3295.0,Male,Italy,Organic Search,Computer,Laptop,Windows,25.0
3369.0,Female,Indonesia,Social Media,Mobile,Tablet,Windows,30.0
3171.0,Female,Argentina,Organic Search,Mobile,Smart Phone,Android,53.0
7169.0,Female,France,Social Media,,Desktop,Windows,18.0
,Male,Argentina,Organic Search,Mobile,Tablet,Windows,36.0
8523.0,Male,Japan,Organic Search,Computer,Laptop,Windows,18.0
4110.0,Female,Japan,Organic Search,Computer,Desktop,Windows,25.0
8376.0,Male,Belgium,Organic Search,Mobile,Tablet,Android,40.0
8430.0,Male,Canada,Organic Search,Computer,Laptop,Windows,30.0
2784.0,Female,United Kingdom,Paid Advertisment,Computer,Desktop,Windows,19.0
7994.0,Female,China,Organic Search,Computer,Desktop,,22.0
3881.0,Male,Australia,Organic Search,Computer,Laptop,Windows,36.0
3406.0,Female,Germany,Organic Search,Computer,Laptop,Windows,22.0
1847.0,Female,China,Social Media,Mobile,Smart Phone,Android,32.0
,Female,Russia,Social Media,Computer,Laptop,Windows,30.0
5428.0,Male,Germany,Social Media,Computer,Desktop,Windows,23.0
5574.0,Male,China,Paid Advertisment,Computer,Desktop,Windows,51.0
5146.0,Male,United Kingdom,Organic Search,Computer,Laptop,Windows,36.0
5371.0,Female,Australia,Organic Search,Mobile,Smart Phone,Android,18.0
9899.0,Female,Spain,Organic Search,Mobile,Smart Phone,Android,31.0
1178.0,Male,Russia,Social Media,Computer,Desktop,Windows,23.0
8271.0,Female,Turkey,Social Media,Computer,Desktop,Windows,38.0
4444.0,Male,Canada,Social Media,Computer,Desktop,Mac,
5602.0,Male,India,Paid Advertisment,Computer,Desktop,Windows,28.0
2928.0,Male,Japan,Social Media,Mobile,Tablet,Android,35.0
4051.0,Male,Canada,Paid Advertisment,Computer,Desktop,Windows,38.0
9496.0,Male,Japan,Organic Search,Computer,Laptop,Windows,18.0
6166.0,Male,Japan,,Computer,Desktop,Windows,26.0
7850.0,Male,Nigeria,Social Media,Computer,Laptop,Windows,25.0
6322.0,Male,Russia,Organic Search,Computer,Desktop,Windows,23.0
,Male,China,Social Media,Computer,Laptop,Windows,47.0
6316.0,Male,United States,Social Media,Computer,Desktop,Linux,34.0
5057.0,Female,Mexico,Organic Search,Computer,,Windows,18.0
4621.0,Male,Italy,,Computer,Desktop,Linux,39.0
5033.0,Male,Saudi Arabia,Social Media,Computer,Desktop,Windows,51.0
5071.0,Male,China,,Mobile,Smart Phone,Android,40.0
6460.0,Male,China,Paid Advertisment,Computer,Desktop,Windows,
6047.0,Female,Taiwan,Organic Search,Computer,Desktop,Windows,25.0
3854.0,Female,South Korea,Social Media,Computer,Laptop,Windows,42.0
4802.0,Male,Japan,Paid Advertisment,Mobile,Smart Phone,Android,22.0
1216.0,Male,China,Paid Advertisment,Mobile,Tablet,iOS,34.0
2445.0,Male,Switzerland,Organic Search,Computer,Desktop,Mac,37.0
5895.0,Male,Germany,Social Media,Computer,Desktop,Windows,20.0
3317.0,Male,India,Organic Search,Computer,Desktop,Windows,29.0
7421.0,Female,Brazil,Social Media,Computer,Desktop,Windows,18.0
6318.0,Male,Vietnam,Organic Search,Mobile,Tablet,Windows,19.0
2516.0,Male,South Korea,Organic Search,Mobile,Smart Phone,Android,27.0
1627.0,Male,Japan,Social Media,Mobile,Tablet,Windows,18.0
9825.0,Male,China,Social Media,Computer,Desktop,Windows,46.0
4241.0,Male,Canada,Social Media,Computer,Desktop,Windows,18.0
2806.0,Male,United States,Social Media,Computer,Desktop,Windows,25.0
8133.0,Male,Spain,Organic Search,Mobile,Smart Phone,iOS,31.0
3683.0,Male,Taiwan,Paid Advertisment,Computer,Laptop,Windows,44.0
5106.0,Male,Turkey,Organic Search,Mobile,Tablet,Windows,18.0
6993.0,Male,South Korea,Organic Search,Computer,Laptop,Windows,41.0
4409.0,Male,Japan,Organic Search,Mobile,Smart Phone,Windows,
5356.0,Male,Taiwan,Organic Search,Computer,Desktop,Windows,20.0
9922.0,Male,Australia,Organic Search,Mobile,Smart Phone,Android,34.0
2852.0,Male,Russia,Organic Search,Computer,Laptop,Windows,31.0
9369.0,Male,Russia,Organic Search,Computer,Laptop,Windows,23.0
1542.0,Male,Switzerland,Organic Search,Mobile,Tablet,Windows,30.0
1721.0,Male,Mexico,Paid Advertisment,Computer,Desktop,Windows,26.0
2518.0,Male,Germany,Organic Search,Mobile,Tablet,Windows,31.0
3697.0,Male,Taiwan,Paid Advertisment,Computer,Laptop,Windows,36.0
2521.0,Male,Canada,Organic Search,Computer,Desktop,Mac,45.0
7932.0,Male,South Korea,Paid Advertisment,Computer,Desktop,Windows,18.0
5424.0,Female,China,Organic Search,Computer,Laptop,Windows,51.0
,Female,South Korea,Organic Search,Computer,Desktop,Windows,18.0
3365.0,Female,South Korea,Organic Search,Mobile,Smart Phone,Android,28.0
2852.0,Male,United Kingdom,Paid Advertisment,Computer,Desktop,Mac,35.0
5643.0,Male,United Kingdom,Social Media,Computer,Desktop,Windows,32.0
3379.0,Male,Australia,Organic Search,Computer,Desktop,Windows,23.0
6897.0,Female,United States,Paid Advertisment,Computer,Desktop,Windows,27.0
5507.0,Male,Canada,Paid Advertisment,Mobile,Smart Phone,Android,25.0
7577.0,Male,Germany,Paid Advertisment,Computer,Desktop,Windows,24.0
9247.0,Male,Russia,Paid Advertisment,Mobile,Smart Phone,Android,38.0
3640.0,Male,Iran,Paid Advertisment,Computer,Desktop,Linux,33.0
6485.0,Male,France,Paid Advertisment,Computer,Desktop,Windows,23.0
5365.0,Female,Brazil,Social Media,Mobile,Tablet,iOS,38.0
3267.0,Male,Spain,Social Media,Mobile,Smart Phone,Android,33.0
6709.0,Male,United States,Paid Advertisment,Computer,Laptop,Windows,38.0
1267.0,Female,Japan,Social Media,Computer,Desktop,Windows,36.0
1774.0,Male,Russia,Organic Search,Computer,Desktop,Windows,21.0
4778.0,Male,Italy,Organic Search,Computer,Desktop,Windows,24.0
7697.0,Male,Canada,Social Media,Computer,Laptop,Windows,37.0
1947.0,Female,Russia,Organic Search,Mobile,Smart Phone,Windows,36.0
6093.0,Female,Australia,Social Media,Mobile,Smart Phone,Android,29.0
5122.0,Male,Spain,Organic Search,Computer,Desktop,Windows,31.0
2482.0,Male,China,Social Media,Computer,Laptop,Windows,42.0
4404.0,Female,India,Social Media,Computer,Desktop,Windows,24.0
5317.0,Female,France,Social Media,Computer,Laptop,Windows,35.0
9313.0,Male,Brazil,Organic Search,Computer,Laptop,Windows,27.0
6219.0,Male,United Kingdom,Paid Advertisment,Computer,Laptop,Windows,27.0
2582.0,Male,Italy,Organic Search,Mobile,Smart Phone,Windows,40.0
7006.0,Male,United Kingdom,Social Media,,Desktop,Windows,38.0
2284.0,Male,United States,Organic Search,Computer,Laptop,Windows,38.0
9232.0,Male,Germany,Social Media,Computer,Desktop,Mac,43.0
6863.0,Male,Russia,Paid Advertisment,Mobile,Smart Phone,Windows,30.0
9527.0,Female,France,Organic Search,Computer,Laptop,Windows,36.0
3635.0,Female,United States,Organic Search,Computer,Desktop,Windows,26.0
8305.0,Male,China,Social Media,Computer,Desktop,Windows,33.0
3769.0,Male,Iran,Social Media,Computer,Laptop,Linux,28.0
9616.0,,United States,Organic Search,Computer,Desktop,Mac,30.0
3507.0,Male,Netherlands,Social Media,Computer,Desktop,Windows,35.0
8937.0,Male,France,Paid Advertisment,Mobile,Smart Phone,Windows,21.0
1402.0,Female,South Korea,Organic Search,Computer,Laptop,,50.0
9890.0,Male,Turkey,Social Media,Computer,Laptop,Linux,19.0
4016.0,Female,Germany,Organic Search,Mobile,Smart Phone,Android,18.0
2129.0,Male,Russia,Organic Search,Computer,Desktop,Windows,41.0
3733.0,Male,Australia,Social Media,Computer,Laptop,Windows,37.0
9154.0,Male,United States,Organic Search,Mobile,Smart Phone,Android,36.0
6059.0,,Brazil,Organic Search,Computer,Desktop,Windows,36.0
7233.0,Female,Indonesia,Organic Search,Mobile,Smart Phone,Android,29.0
5719.0,Male,South Korea,Social Media,Computer,Laptop,Linux,21.0
2345.0,Female,India,Paid Advertisment,Computer,Laptop,Linux,30.0
4138.0,Male,,Social Media,Computer,,Windows,23.0
6827.0,Female,United States,Organic Search,Mobile,Smart Phone,Android,39.0
4209.0,Female,Australia,Social Media,Computer,Desktop,Windows,28.0
5372.0,Male,,Paid Advertisment,Mobile,Smart Phone,Android,21.0
8094.0,Female,Germany,Paid Advertisment,Mobile,Smart Phone,Windows,26.0
6803.0,Male,Spain,Social Media,Computer,Laptop,Windows,34.0
7767.0,Female,Philippines,Social Media,Computer,Laptop,Windows,24.0
6232.0,Male,India,Organic Search,Computer,Desktop,Windows,21.0
7057.0,Male,India,Social Media,Mobile,Tablet,Windows,32.0
1694.0,Female,Canada,Organic Search,Mobile,Tablet,Android,32.0
1750.0,Male,South Korea,Social Media,Mobile,Smart Phone,Android,24.0
1985.0,Male,South Korea,Social Media,Computer,Laptop,Windows,25.0
3466.0,Female,United States,Social Media,Computer,Desktop,Windows,32.0
6496.0,Male,China,Organic Search,Mobile,Tablet,Windows,18.0
4248.0,Male,Egypt,Paid Advertisment,Computer,Laptop,Windows,18.0
2702.0,Male,Indonesia,Organic Search,Computer,Desktop,Windows,22.0
9108.0,Male,Argentina,Organic Search,Mobile,Tablet,,27.0
2532.0,Female,Saudi Arabia,Organic Search,Computer,Desktop,Windows,33.0
2764.0,Male,United States,Organic Search,Computer,Desktop,Windows,44.0
4131.0,Female,United States,Organic Search,Computer,Laptop,Windows,38.0
8505.0,Female,Argentina,Organic Search,Computer,Laptop,Windows,28.0
1208.0,Female,Australia,Organic Search,Computer,Laptop,Windows,29.0
3574.0,Male,Japan,Social Media,Computer,Desktop,Windows,19.0
7042.0,Male,United States,Organic Search,Computer,Laptop,Linux,29.0
2740.0,Male,United Kingdom,Organic Search,Computer,Laptop,Windows,27.0
4966.0,Female,India,Organic Search,Computer,Laptop,Windows,33.0
4204.0,Female,United States,Paid Advertisment,Mobile,Smart Phone,Windows,21.0
3993.0,Female,Netherlands,Social Media,Computer,Desktop,Windows,35.0
1421.0,Male,United States,Organic Search,Mobile,Tablet,Windows,45.0
5428.0,Male,Indonesia,Social Media,Computer,Laptop,Windows,28.0
6078.0,Male,Japan,Organic Search,Computer,Desktop,Mac,34.0
9690.0,Male,Australia,Organic Search,Computer,Laptop,Windows,36.0
9068.0,Female,Thailand,Organic Search,,Laptop,Linux,25.0
9469.0,Female,China,Social Media,Mobile,Smart Phone,iOS,32.0
6786.0,Female,Japan,Paid Advertisment,Computer,Desktop,Mac,30.0
2722.0,Male,Russia,Organic Search,Computer,,Windows,30.0
7951.0,Male,Canada,Organic Search,Mobile,Smart Phone,Windows,22.0
8432.0,Female,Vietnam,Social Media,Computer,Desktop,Windows,30.0
6228.0,Female,Switzerland,,Computer,Desktop,Windows,34.0
1376.0,Male,China,Organic Search,Computer,Laptop,Windows,44.0
2651.0,Male,United States,,Mobile,Tablet,Android,39.0
9917.0,Male,United Kingdom,Organic Search,Computer,Laptop,Windows,51.0
6374.0,Male,China,Organic Search,Computer,Desktop,Mac,22.0
3868.0,Male,,Social Media,Computer,Laptop,Windows,38.0
1361.0,Male,Canada,Social Media,Mobile,Smart Phone,Android,31.0
5744.0,Male,Australia,Social Media,Computer,Laptop,Windows,51.0
9260.0,Female,Japan,Organic Search,Computer,Desktop,Windows,21.0
9441.0,Male,Mexico,Organic Search,Computer,Laptop,Windows,21.0
5503.0,Male,United States,Social Media,Mobile,Tablet,Windows,24.0
1901.0,Female,Russia,Organic Search,Computer,Laptop,Linux,18.0
4504.0,Male,Italy,Social Media,Computer,Laptop,Linux,24.0
5823.0,Male,Mexico,Social Media,Computer,Desktop,Windows,22.0
9027.0,Male,Australia,Paid Advertisment,Computer,Laptop,Windows,31.0
3489.0,Male,Netherlands,Social Media,,Laptop,Windows,33.0
4977.0,Male,United Kingdom,Paid Advertisment,Computer,Desktop,Windows,48.0
5462.0,Male,Netherlands,Organic Search,Computer,Laptop,Windows,39.0
2913.0,Male,Nigeria,Organic Search,Mobile,Tablet,Android,24.0
8393.0,Male,Germany,Paid Advertisment,Mobile,Tablet,Android,21.0
7569.0,Male,United States,Social Media,Computer,Laptop,Windows,34.0
9189.0,Male,France,Social Media,,Laptop,Windows,
